x	y	time	fwi	ffmc	dmc	dc	isi	area
-11.58335	-54.33401	2017-01-04-16:31:00	0.36672515	70.54469	0.71404934	27.590319	0.71404934	0.31744739864486
-11.292810000000001	-54.331959999999995	2017-01-04-16:31:00	0.2499106	65.93844	0.60678184	13.007703999999999	0.60678184	0.25351738471327284
-10.27485	-51.91295	2017-01-04-16:31:00	0.29211548	60.63983	0.47640866	36.775333	0.47640866	0.035300884971162384
-5.57779	-49.87842	2017-01-04-16:32:00	0.26674467	60.41174	0.74924004	20.4311	0.74924004	0.037116617418914685
-4.72585	-47.33643	2017-01-04-16:33:00	0.21249835	62.217369999999995	0.6182191	6.3479395	0.6182191	0.38190848706369535
-19.76931	-58.3422	2017-01-04-18:09:00	52.288036	92.14110600000001	19.561428	664.9445	19.561428	0.07199484251672618
-19.74881	-58.35058000000001	2017-01-04-18:09:00	52.288036	92.14110600000001	19.561428	664.9445	19.561428	1.2605737185785473
-19.72128	-58.24899	2017-01-04-18:09:00	52.288036	92.14110600000001	19.561428	664.9445	19.561428	0.5735807295256875
-19.70893	-58.21796	2017-01-04-18:09:00	52.288036	92.14110600000001	19.561428	664.9445	19.561428	18.40549578179587
-19.15701	-57.13632	2017-01-04-18:09:00	33.287006	92.62991	21.126259	303.5543	21.126259	0.7720812587681508
-19.14256	-57.1261	2017-01-04-18:09:00	33.287006	92.62991	21.126259	303.5543	21.126259	0.06396939879730923
-18.68045	-58.079919999999994	2017-01-04-18:09:00	41.598853999999996	92.59501	14.911026999999999	804.42255	14.911026999999999	0.8247926420405461
-19.53538	-63.346759999999996	2017-01-04-18:09:00	60.98743	93.92744	40.325726	203.27603	40.325726	0.06329843409453861
-13.585320000000001	-65.59232	2017-01-04-18:11:00	1.4594145	72.76812	2.3862650000000003	276.7009	2.3862650000000003	0.05070054065687512
-13.16966	-67.00368	2017-01-04-18:11:00	0.91440785	76.036156	2.0212548	310.1214	2.0212548	0.03678906337229153
-13.07535	-66.95654	2017-01-04-18:11:00	0.91440785	76.036156	2.0212548	310.1214	2.0212548	0.031861648729800844
-9.91578	-63.18643	2017-01-04-18:12:00	1.5839749e-05	17.828045	6.313308000000001e-05	5.617760700000001	6.313308000000001e-05	0.3900327847721922
-10.17794	-64.96514	2017-01-04-18:12:00	0.0011565785	30.083154999999998	0.0044083092	5.913073000000001	0.0044083092	0.7329155146203888
-9.960189999999999	-65.24548	2017-01-04-18:12:00	0.00813987	38.22631	0.02985651	5.9833856	0.02985651	0.026891318545862047
-9.81891	-64.7187	2017-01-04-18:12:00	9.6543445e-05	22.601315	0.00040558755	5.7865105	0.00040558755	0.045350210548418236
-12.7626	-66.86005	2017-01-04-18:12:00	0.09613661	49.27485	0.30894770000000005	238.8844	0.30894770000000005	0.00023514549103309184
-12.71165	-67.09531	2017-01-04-18:12:00	0.39902887	64.91558	1.1246770000000001	196.93483999999998	1.1246770000000001	0.032239664830216515
-11.83066	-66.57455999999999	2017-01-04-18:12:00	0.00032015563999999996	25.834112	0.0012363226	105.95323	0.0012363226	0.042703040666514605
-9.15376	-61.789880000000004	2017-01-05-05:18:00	0.00023789822	24.886023	0.00086181366	5.890793	0.00086181366	0.02407411897599136
-18.664089999999998	-58.053490000000004	2017-01-05-05:20:00	28.304109999999998	89.27215600000001	8.059636	814.278	8.059636	2.3168244454993485
-18.873929999999998	-58.2705	2017-01-05-05:20:00	36.82503	91.16367	11.108408	617.4171	11.108408	0.024240860648752492
